fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 193609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	201	TRUE	804409	0.0452750778726338	0.447261666297504	1443	408	9227	27230000	66
20221001 193719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	804409	0.0447161212182597	0.445878126480721	391	234	8676	27210000	67
20221001 193838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	804409	0.0464416114598263	0.444942361682234	884	158	9307	27390000	68
20221001 193936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	804409	0.047075688875677	0.439860021683527	1080	126	9307	26910000	69
20221001 194025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	804409	0.0458228911667122	0.44583758307789	3118	240	10553	25700000	70
20221001 194055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	804409	0.127421326364491	0.443866000371636	1954	207	8514	26740000	71
20221001 194402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	804409	0.020122312208043	0.444338219663175	707	316	9095	27090000	72
20221001 194446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	804409	0.201663321778872	0.444985625523282	471	533	8956	26090000	73
20221001 194548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	804409	0.0622339039402495	0.444756096087524	1158	241	8143	26920000	74
20221001 194731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	804409	0.0335602852632416	0.447706539394276	28	151	9058	26930000	75
20221001 194816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	804409	0.0905225663293395	0.443915827759867	747	406	9111	26660000	76
20221001 195142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	804409	0.0267182862418094	0.561398333057369	199	456	9514	26820000	77
20221001 195312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	468	TRUE	804409	0.0481337899599078	0.444881758364728	781	21	9204	27440000	78
20221001 195410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	TRUE	804409	0.0515440593661514	0.44542841928865	752	57	9151	27620000	79
20221001 195516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	804409	0.265421284579227	0.479260831978731	279	461	10892	25020000	80
20221001 195544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	804409	0.171517565044165	0.653521008510143	2274	408	10992	25380000	81
20221001 195654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	329	TRUE	804409	0.0765425758098857	0.249242952970415	6582	350	9675	26490000	82
20221001 195715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	804409	0.170634388724011	0.889012978087924	1809	910	7219	26050000	83
20221001 195824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	804409	0.0567325488287385	0.563321755845658	119	246	8461	26120000	84
20221001 195924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	804409	0.17375584015207	0.657241265146807	784	638	9498	25490000	85
20221001 195946	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	804409	0.150380627939206	0.544430545429327	2489	33	9338	25810000	86
